Model,Objective,Regime,Equity,Bonds,Gold
HMM,GMV,0.0,0.3044269351962705,0.4486022248307291,0.2469708399730003
HMM,GMV,1.0,0.3147557421014756,0.3306478421784672,0.3545964157200572
HMM,MVO,0.0,0.4001147993185099,0.4700914182521215,0.1297937824293686
HMM,MVO,1.0,9.242448804384282e-12,0.6918620758712755,0.3081379241194821
HMM,MVO-BS,0.0,0.343685375483985,0.4571505585777167,0.19916406593829836
HMM,MVO-BS,1.0,0.10504586479686288,0.5214941827035751,0.37345995249956204
MSVAR,GMV,0.0,0.3176792738614746,0.3283431129875476,0.3539776131509778
MSVAR,GMV,1.0,0.2925551350842051,0.4242061468274386,0.2832387180883562
MSVAR,MVO,0.0,2.329107774483861e-09,0.686784365714946,0.3132156319559462
MSVAR,MVO,1.0,0.374076740941156,0.4630306844576932,0.1628925746011507
MSVAR,MVO-BS,0.0,0.32411360179745075,0.439235815910409,0.23665058229214025
MSVAR,MVO-BS,1.0,0.19574174758662335,0.4606855304317536,0.3435727219816231
