Subperiod,Start Date,End Date,Months,Metric,HMM,MSVAR,60_40,Equal_Weight,Buy_Hold_Equity
Full_Test_Period,2018-12-31,2025-12-31,85,Annualized Return,0.10493252544258258,0.12078544462613583,0.10101119444922202,0.12180697553922726,0.1546809999352441
Full_Test_Period,2018-12-31,2025-12-31,85,Annualized Volatility,0.10129637967155587,0.0952784044781347,0.1265021549636695,0.09662874076263746,0.1698147777063276
Full_Test_Period,2018-12-31,2025-12-31,85,CVaR 95% (monthly),0.052056258459161286,0.047454303791093375,0.06751853412253021,0.04844844593011241,0.09534763425420825
Full_Test_Period,2018-12-31,2025-12-31,85,Information Ratio vs 60/40,0.012543109600535264,0.22619668587975908,,0.260099006312228,0.6837550665874899
Full_Test_Period,2018-12-31,2025-12-31,85,Max Drawdown,-0.2199343782735066,-0.1956597201392588,-0.25739193889499656,-0.19633571365419844,-0.23959573390949918
Full_Test_Period,2018-12-31,2025-12-31,85,Sharpe Ratio,0.7760857274717254,0.9698036056536028,0.6157766730929206,0.9670869582785834,0.779533074743517
Full_Test_Period,2018-12-31,2025-12-31,85,Sortino Ratio,1.2501010272588415,1.5633181381583334,1.0371408139639435,1.5897123148011172,1.1890845948392952
Full_Test_Period,2018-12-31,2025-12-31,85,VaR 95% (monthly),0.03339487622886198,0.030764094590798433,0.04847877295792588,0.030855478533734926,0.08266235471989339
COVID_2020,2020-03-31,2020-12-31,10,Annualized Return,0.2668984633326503,0.23376822192156532,0.2850238076639464,0.2442786596694102,0.35590288007040294
COVID_2020,2020-03-31,2020-12-31,10,Annualized Volatility,0.10555913438122676,0.10009781346365063,0.15235706563814694,0.11023111548596817,0.2603996202180018
COVID_2020,2020-03-31,2020-12-31,10,CVaR 95% (monthly),0.02303680015453878,0.024621245010223117,0.04822960499577219,0.023376597881173206,0.1240127386599487
COVID_2020,2020-03-31,2020-12-31,10,Information Ratio vs 60/40,-0.2884143233888983,-0.6774750884899938,,-0.6353135924073569,0.5884146918462982
COVID_2020,2020-03-31,2020-12-31,10,Max Drawdown,-0.04102027998253932,-0.03935742088840555,-0.04917470296260995,-0.041571334169561824,-0.06570181843133283
COVID_2020,2020-03-31,2020-12-31,10,Sharpe Ratio,2.057682788602939,1.8953334864800597,1.5560164575878115,1.8080208139202587,1.1999741318210035
COVID_2020,2020-03-31,2020-12-31,10,Sortino Ratio,8.879866839061487,7.1701605621126525,4.874113113110749,24.12552002929991,1.7101051897522677
COVID_2020,2020-03-31,2020-12-31,10,VaR 95% (monthly),0.020953628777508344,0.020340355642453317,0.03950116125281497,0.022125866511826138,0.08623328317379947
Inflation_Rate_Rise_2021_2022,2021-01-31,2022-12-31,24,Annualized Return,-0.07372059440939327,-0.05609614634718174,-0.05410592172141748,-0.05190769534811257,0.025070251011075184
Inflation_Rate_Rise_2021_2022,2021-01-31,2022-12-31,24,Annualized Volatility,0.10868980430910752,0.10226308681377708,0.14840486923535898,0.10287664904889524,0.18772890765733652
Inflation_Rate_Rise_2021_2022,2021-01-31,2022-12-31,24,CVaR 95% (monthly),0.0719652113016888,0.06587168321796347,0.08770590465107087,0.06714132675472896,0.08975612069279285
Inflation_Rate_Rise_2021_2022,2021-01-31,2022-12-31,24,Information Ratio vs 60/40,-0.41745229848101206,-0.11075377280824608,,-0.04922236470931903,1.30876227673215
Inflation_Rate_Rise_2021_2022,2021-01-31,2022-12-31,24,Max Drawdown,-0.21993437827350626,-0.19565972013925848,-0.25739193889499656,-0.19633571365419866,-0.23959573390949895
Inflation_Rate_Rise_2021_2022,2021-01-31,2022-12-31,24,Sharpe Ratio,-0.8946710566488119,-0.7740966533028013,-0.4812613659186302,-0.726009512631491,0.08085225728672499
Inflation_Rate_Rise_2021_2022,2021-01-31,2022-12-31,24,Sortino Ratio,-1.28800935139504,-1.1242430928959692,-0.7421403108191597,-1.0587208414970735,0.1449324291773164
Inflation_Rate_Rise_2021_2022,2021-01-31,2022-12-31,24,VaR 95% (monthly),0.06325275663542078,0.055776481879970856,0.08249125603493182,0.05737265816647728,0.08661595529437308
Post_2022_Normalization,2023-01-31,2025-12-31,36,Annualized Return,0.14808811900211527,0.18494827609689057,0.13808278248309214,0.18209845552331316,0.23134384483950554
Post_2022_Normalization,2023-01-31,2025-12-31,36,Annualized Volatility,0.09719747572396546,0.09022135142504319,0.11497541008484616,0.09063240298017095,0.11923143637749403
Post_2022_Normalization,2023-01-31,2025-12-31,36,CVaR 95% (monthly),0.04132239290326631,0.03582383419267886,0.05333606480736687,0.0364364896328047,0.0521332369319312
Post_2022_Normalization,2023-01-31,2025-12-31,36,Information Ratio vs 60/40,0.14186901602907026,0.596879340900106,,0.5938507501526223,1.8565255347121847
Post_2022_Normalization,2023-01-31,2025-12-31,36,Max Drawdown,-0.09504478095347668,-0.08085323761622576,-0.10753925569010891,-0.08247058617859615,-0.08286049460737488
Post_2022_Normalization,2023-01-31,2025-12-31,36,Sharpe Ratio,1.2016209782914244,1.6423019356188369,0.9548416851536977,1.608317284110982,1.5945217915912586
Post_2022_Normalization,2023-01-31,2025-12-31,36,Sortino Ratio,2.3025395897048564,3.2090317615867803,1.836587035650128,3.1357925294952307,3.246917437179545
Post_2022_Normalization,2023-01-31,2025-12-31,36,VaR 95% (monthly),0.03277821464452217,0.02761131689903167,0.040532674247112925,0.028091780447927997,0.04266277432608417
